word,meaning,topic,image_path,audio_path
mountain,,Đồ vật ngoài trời,data/images/mountain.jpg,data/audio/mountain.mp3
beach,,Đồ vật ngoài trời,data/images/beach.jpg,data/audio/beach.mp3
sea,,Đồ vật ngoài trời,data/images/sea.jpg,data/audio/sea.mp3
sand,,Đồ vật ngoài trời,data/images/sand.jpg,data/audio/sand.mp3
run,,Hành động,data/images/run.jpg,data/audio/run.mp3
jump,,Hành động,data/images/jump.jpg,data/audio/jump.mp3
eat,,Hành động,data/images/eat.jpg,data/audio/eat.mp3
drink,,Hành động,data/images/drink.jpg,data/audio/drink.mp3
sleep,,Hành động,data/images/sleep.jpg,data/audio/sleep.mp3
play,,Hành động,data/images/play.jpg,data/audio/play.mp3
walk,,Hành động,data/images/walk.jpg,data/audio/walk.mp3
talk,,Hành động,data/images/talk.jpg,data/audio/talk.mp3
sing,,Hành động,data/images/sing.jpg,data/audio/sing.mp3
dance,,Hành động,data/images/dance.jpg,data/audio/dance.mp3
draw,,Hành động,data/images/draw.jpg,data/audio/draw.mp3
write,,Hành động,data/images/write.jpg,data/audio/write.mp3
read,,Hành động,data/images/read.jpg,data/audio/read.mp3
swim,,Hành động,data/images/swim.jpg,data/audio/swim.mp3
climb,,Hành động,data/images/climb.jpg,data/audio/climb.mp3
sit,,Hành động,data/images/sit.jpg,data/audio/sit.mp3
stand,,Hành động,data/images/stand.jpg,data/audio/stand.mp3
open,,Hành động,data/images/open.jpg,data/audio/open.mp3
close,,Hành động,data/images/close.jpg,data/audio/close.mp3
watch,,Hành động,data/images/watch.jpg,data/audio/watch.mp3
big,,Tính từ mô tả,data/images/big.jpg,data/audio/big.mp3
small,,Tính từ mô tả,data/images/small.jpg,data/audio/small.mp3
tall,,Tính từ mô tả,data/images/tall.jpg,data/audio/tall.mp3
short,,Tính từ mô tả,data/images/short.jpg,data/audio/short.mp3
happy,,Tính từ mô tả,data/images/happy.jpg,data/audio/happy.mp3
sad,,Tính từ mô tả,data/images/sad.jpg,data/audio/sad.mp3
fast,,Tính từ mô tả,data/images/fast.jpg,data/audio/fast.mp3
slow,,Tính từ mô tả,data/images/slow.jpg,data/audio/slow.mp3
hot,,Tính từ mô tả,data/images/hot.jpg,data/audio/hot.mp3
cold,,Tính từ mô tả,data/images/cold.jpg,data/audio/cold.mp3
good,,Tính từ mô tả,data/images/good.jpg,data/audio/good.mp3
bad,,Tính từ mô tả,data/images/bad.jpg,data/audio/bad.mp3
clean,,Tính từ mô tả,data/images/clean.jpg,data/audio/clean.mp3
dirty,,Tính từ mô tả,data/images/dirty.jpg,data/audio/dirty.mp3
beautiful,,Tính từ mô tả,data/images/beautiful.jpg,data/audio/beautiful.mp3
ugly,,Tính từ mô tả,data/images/ugly.jpg,data/audio/ugly.mp3
shirt,,Quần áo,data/images/shirt.jpg,data/audio/shirt.mp3
pants,,Quần áo,data/images/pants.jpg,data/audio/pants.mp3
dress,,Quần áo,data/images/dress.jpg,data/audio/dress.mp3
skirt,,Quần áo,data/images/skirt.jpg,data/audio/skirt.mp3
jacket,,Quần áo,data/images/jacket.jpg,data/audio/jacket.mp3
coat,,Quần áo,data/images/coat.jpg,data/audio/coat.mp3
sweater,,Quần áo,data/images/sweater.jpg,data/audio/sweater.mp3
shoes,,Quần áo,data/images/shoes.jpg,data/audio/shoes.mp3
socks,,Quần áo,data/images/socks.jpg,data/audio/socks.mp3
hat,,Quần áo,data/images/hat.jpg,data/audio/hat.mp3
cap,,Quần áo,data/images/cap.jpg,data/audio/cap.mp3
scarf,,Quần áo,data/images/scarf.jpg,data/audio/scarf.mp3
gloves,,Quần áo,data/images/gloves.jpg,data/audio/gloves.mp3
belt,,Quần áo,data/images/belt.jpg,data/audio/belt.mp3
backpack,,Quần áo,data/images/backpack.jpg,data/audio/backpack.mp3
car,,Phương tiện giao thông,data/images/car.jpg,data/audio/car.mp3
bus,,Phương tiện giao thông,data/images/bus.jpg,data/audio/bus.mp3
train,,Phương tiện giao thông,data/images/train.jpg,data/audio/train.mp3
plane,,Phương tiện giao thông,data/images/plane.jpg,data/audio/plane.mp3
bicycle,,Phương tiện giao thông,data/images/bicycle.jpg,data/audio/bicycle.mp3
boat,,Phương tiện giao thông,data/images/boat.jpg,data/audio/boat.mp3
motorbike,,Phương tiện giao thông,data/images/motorbike.jpg,data/audio/motorbike.mp3
truck,,Phương tiện giao thông,data/images/truck.jpg,data/audio/truck.mp3
taxi,,Phương tiện giao thông,data/images/taxi.jpg,data/audio/taxi.mp3
ship,,Phương tiện giao thông,data/images/ship.jpg,data/audio/ship.mp3
Monday,,Các ngày và tháng,data/images/Monday.jpg,data/audio/Monday.mp3
Tuesday,,Các ngày và tháng,data/images/Tuesday.jpg,data/audio/Tuesday.mp3
Wednesday,,Các ngày và tháng,data/images/Wednesday.jpg,data/audio/Wednesday.mp3
Thursday,,Các ngày và tháng,data/images/Thursday.jpg,data/audio/Thursday.mp3
Friday,,Các ngày và tháng,data/images/Friday.jpg,data/audio/Friday.mp3
Saturday,,Các ngày và tháng,data/images/Saturday.jpg,data/audio/Saturday.mp3
Sunday,,Các ngày và tháng,data/images/Sunday.jpg,data/audio/Sunday.mp3
January,,Các ngày và tháng,data/images/January.jpg,data/audio/January.mp3
February,,Các ngày và tháng,data/images/February.jpg,data/audio/February.mp3
March,,Các ngày và tháng,data/images/March.jpg,data/audio/March.mp3
April,,Các ngày và tháng,data/images/April.jpg,data/audio/April.mp3
May,,Các ngày và tháng,data/images/May.jpg,data/audio/May.mp3
June,,Các ngày và tháng,data/images/June.jpg,data/audio/June.mp3
July,,Các ngày và tháng,data/images/July.jpg,data/audio/July.mp3
August,,Các ngày và tháng,data/images/August.jpg,data/audio/August.mp3
September,,Các ngày và tháng,data/images/September.jpg,data/audio/September.mp3
October,,Các ngày và tháng,data/images/October.jpg,data/audio/October.mp3
November,,Các ngày và tháng,data/images/November.jpg,data/audio/November.mp3
December,,Các ngày và tháng,data/images/December.jpg,data/audio/December.mp3
morning,,Thời gian,data/images/morning.jpg,data/audio/morning.mp3
afternoon,,Thời gian,data/images/afternoon.jpg,data/audio/afternoon.mp3
evening,,Thời gian,data/images/evening.jpg,data/audio/evening.mp3
night,,Thời gian,data/images/night.jpg,data/audio/night.mp3
today,,Thời gian,data/images/today.jpg,data/audio/today.mp3
tomorrow,,Thời gian,data/images/tomorrow.jpg,data/audio/tomorrow.mp3
yesterday,,Thời gian,data/images/yesterday.jpg,data/audio/yesterday.mp3
hour,,Thời gian,data/images/hour.jpg,data/audio/hour.mp3
minute,,Thời gian,data/images/minute.jpg,data/audio/minute.mp3
second,,Thời gian,data/images/second.jpg,data/audio/second.mp3
home,,Địa điểm,data/images/home.jpg,data/audio/home.mp3
school,,Địa điểm,data/images/school.jpg,data/audio/school.mp3
park,,Địa điểm,data/images/park.jpg,data/audio/park.mp3
shop,,Địa điểm,data/images/shop.jpg,data/audio/shop.mp3
market,,Địa điểm,data/images/market.jpg,data/audio/market.mp3
hospital,,Địa điểm,data/images/hospital.jpg,data/audio/hospital.mp3
zoo,,Địa điểm,data/images/zoo.jpg,data/audio/zoo.mp3
farm,,Địa điểm,data/images/farm.jpg,data/audio/farm.mp3
library,,Địa điểm,data/images/library.jpg,data/audio/library.mp3
playground,,Địa điểm,data/images/playground.jpg,data/audio/playground.mp3
happy,,Cảm xúc,data/images/happy.jpg,data/audio/happy.mp3
sad,,Cảm xúc,data/images/sad.jpg,data/audio/sad.mp3
angry,,Cảm xúc,data/images/angry.jpg,data/audio/angry.mp3
scared,,Cảm xúc,data/images/scared.jpg,data/audio/scared.mp3
excited,,Cảm xúc,data/images/excited.jpg,data/audio/excited.mp3
tired,,Cảm xúc,data/images/tired.jpg,data/audio/tired.mp3
surprised,,Cảm xúc,data/images/surprised.jpg,data/audio/surprised.mp3
bored,,Cảm xúc,data/images/bored.jpg,data/audio/bored.mp3
confused,,Cảm xúc,data/images/confused.jpg,data/audio/confused.mp3
